Disruption ID,Date Issued,Start Date,Finish Date,Status,Closure,On Street,From Street,To Street,Impact,Duration,Details,Description,Activity Type,Traffic District,Infrastructure,point
137,"Feb 21, 2024","Mar 18, 2024","Jun 09, 2024",Current,108 Ave EBD Closed,108 Avenue NW,102 Street NW,103 Street NW,Directional Closure,3 Months,"Starts Mar 18, 108 Ave EBD closed from 102 St - 103 St. South sidewalk closed, pedestrian must detour using the north sidewalk. Full road closure from Mar 23-31. Detour using other route.",Drainage Work,Construction,Central,Road and Sidewalk,POINT (-113.495556275647 53.553019792287)
104,"Jan 31, 2024","Feb 05, 2024","Jul 30, 2024",Current,167 St SW Bridge Maintenance,167 Street SW,73 Avenue SW,105 Avenue SW,Total Closure,6 months,"167 St SW, at Whitemud Creek Bridge will be closed for bridge maintenance. Use 153 St SW, 191 St SW or QE II Highway for detours",Bridge Maintenance,Construction,Southwest,Road,POINT (-113.610516212747 53.366873941676)
159,"Mar 13, 2024","Mar 18, 2024","Mar 28, 2024",Current,Intersection of 80 Ave and 107 St closed,80 Avenue NW,107 Street NW,106 Street NW,Total Closure,11 Days,The intersection of 80 Ave and 107 St will be completely closed for drainage construction. Please use other routes.,Drainage Construction,Construction,Central,Road and Sidewalk,POINT (-113.506316351921 53.516144081169)
209,"Apr 05, 2024","Apr 12, 2024","Jun 30, 2024",Current,156 St Closure,156 Street NW,Meadowlark Rd NW,90 Avenue NW,Total Closure,2.5 Months,Total closure of 156 St at Meadowlark Road for WLRT Construction.For more information please visit https://marigoldinfra.ca/current-construction-notices/,WLRT construction,Construction,Northwest,Road and Sidewalk,POINT (-113.590336201228 53.523075911462)
192,"Mar 28, 2024","Apr 02, 2024","Apr 09, 2024",Current,152 St Closed,152 Street NW,123 Avenue NW,121A Avenue NW,Total Closure,8 Days,152 St will be closed from April 2 to 9 from 123 Av to 121A Av. Use other routes.,Emergency Drainage Repair,Construction,Northwest,Road,POINT (-113.582198711008 53.576766013203)
22,"Sep 07, 2023","Sep 11, 2023","Dec 31, 2025",Revised,YHT/127 St Lane Reductions,Yellowhead Trail NW,127 Street NW,,Increased Travel Time,Long Term Project,"Starts Mon, Sept 11th. Yellowhead Trail and 127 St will be reduced to two lanes in all four directions. Starting Sun, Nov 12th,  EB YHT  to NB 127 St Left turns will be banned.Starting Sat, Nov 25th, SB 127 St to EB YHT Left turns will be banned.",YHT Freeway Conversion,Construction,Northeast,Road,POINT (-113.54123491589 53.580675661185)
21,"Aug 17, 2023","Aug 17, 2023","Apr 30, 2024",Revised,104 Av Lane Reductions,104 Avenue NW,120 Street NW,110 Street NW,Travel Delays,Long Term Project,"104 Av, 120 St - 110 St will be reduced to 2 lanes each way starting on Fri, Aug 18th.",WLRT Constructon,Construction,Central,Road and Sidewalk,POINT (-113.51021860815 53.546228612577)
5,"May 19, 2022","Jun 15, 2022","Jun 15, 2024",Revised,99 Av Closure,99 Avenue NW,150 Street NW,151 Street NW,Total Closure,2 Years,99 Av will be closed from 150 St - 151 St for the construction of a drainage tunnel shaft. Use other routes.*New end date and duration*,Drainage Shaft Construction,Construction,Northeast,Road and Sidewalk,POINT (-113.579777574135 53.537718750011)
132,"Feb 14, 2024","Feb 24, 2024","Feb 24, 2024",Current,Reduced to Single Lane In Each Direction,101 Street NW,104 Avenue NW,105A Avenue NW,Increased Travel Time,7am to 1pm,"Starts Sat at 7am until 1pm. 101 St reduced to single lane in each direction, detour using other route. East sidewalk closed, pedestrians must detour using the other side.",Concrete Pour,Construction,Central,Road and Sidewalk,POINT (-113.493728840248 53.546153456447)
178,"Mar 22, 2024","Apr 02, 2024","Jun 30, 2024",Current,Westbound 57 Ave Closure,57 Avenue NW,Lessard Road,175 Street NW,Directional Closure,Two Months,Westbound 57 Ave closed West of 175 St. Eastbound 57 Ave maintained in a single lane from Lessard Road.,Utility Repair,Construction,Northwest,Road,POINT (-113.629187104364 53.49350760134)
